|TCP   |Source Port |Destination Port |Sequence Number  |Acknowledge Number |Source IP        |Dest IP          |Urgent Flag | Retrans|
|67    |58300       |22               |603062000        |1251287411         |146.141.28.130   |146.141.28.253   |0           |10       |
|68    |58300       |22               |603062000        |1251287459         |146.141.28.130   |146.141.28.253   |0           |10       |
|69    |22          |58300            |1251287459       |603062000          |146.141.28.253   |146.141.28.130   |0           |11       |
|70    |22          |58300            |1251287571       |603062000          |146.141.28.253   |146.141.28.130   |0           |11       |
|71    |58300       |22               |603062000        |1251287571         |146.141.28.130   |146.141.28.253   |0           |11       |
|72    |58300       |22               |603062000        |1251287619         |146.141.28.130   |146.141.28.253   |0           |11       |
|73    |22          |58300            |1251287619       |603062000          |146.141.28.253   |146.141.28.130   |0           |12       |
|74    |58300       |22               |603062000        |1251287891         |146.141.28.130   |146.141.28.253   |0           |12       |
|75    |22          |58300            |1251287891       |603062000          |146.141.28.253   |146.141.28.130   |0           |12       |
|76    |58300       |22               |603062000        |1251288083         |146.141.28.130   |146.141.28.253   |0           |12       |
|77    |22          |58300            |1251288083       |603062000          |146.141.28.253   |146.141.28.130   |0           |12       |
|78    |58300       |22               |603062000        |1251288195         |146.141.28.130   |146.141.28.253   |0           |12       |
|79    |22          |58300            |1251288195       |603062000          |146.141.28.253   |146.141.28.130   |0           |12       |
|80    |58300       |22               |603062000        |1251288387         |146.141.28.130   |146.141.28.253   |0           |12       |
|81    |22          |58300            |1251288387       |603062000          |146.141.28.253   |146.141.28.130   |0           |12       |
|82    |22          |58300            |1251288499       |603062000          |146.141.28.253   |146.141.28.130   |0           |12       |
|83    |58300       |22               |603062000        |1251288499         |146.141.28.130   |146.141.28.253   |0           |12       |
|84    |58300       |22               |603062000        |1251288547         |146.141.28.130   |146.141.28.253   |0           |12       |
|85    |22          |58300            |1251288547       |603062000          |146.141.28.253   |146.141.28.130   |0           |13       |
|86    |58300       |22               |603062000        |1251288659         |146.141.28.130   |146.141.28.253   |0           |13       |
|87    |22          |58300            |1251288659       |603062000          |146.141.28.253   |146.141.28.130   |0           |13       |
|88    |22          |58300            |1251288851       |603062000          |146.141.28.253   |146.141.28.130   |0           |13       |
|89    |58300       |22               |603062000        |1251288851         |146.141.28.130   |146.141.28.253   |0           |13       |
|90    |58300       |22               |603062000        |1251288899         |146.141.28.130   |146.141.28.253   |0           |13       |
|91    |22          |58300            |1251288899       |603062000          |146.141.28.253   |146.141.28.130   |0           |14       |
|92    |58300       |22               |603062000        |1251289091         |146.141.28.130   |146.141.28.253   |0           |14       |
|93    |22          |58300            |1251289091       |603062000          |146.141.28.253   |146.141.28.130   |0           |14       |
|94    |22          |58300            |1251289203       |603062000          |146.141.28.253   |146.141.28.130   |0           |14       |
|95    |58300       |22               |603062000        |1251289203         |146.141.28.130   |146.141.28.253   |0           |14       |
|96    |58300       |22               |603062000        |1251289251         |146.141.28.130   |146.141.28.253   |0           |14       |
|97    |22          |58300            |1251289251       |603062000          |146.141.28.253   |146.141.28.130   |0           |15       |
|98    |58300       |22               |603062000        |1251289587         |146.141.28.130   |146.141.28.253   |0           |15       |
|99    |22          |58300            |1251289587       |603062000          |146.141.28.253   |146.141.28.130   |0           |15       |
|100   |22          |58300            |1251289779       |603062000          |146.141.28.253   |146.141.28.130   |0           |15       |
|101   |58300       |22               |603062000        |1251289779         |146.141.28.130   |146.141.28.253   |0           |15       |
|102   |58300       |22               |603062000        |1251289827         |146.141.28.130   |146.141.28.253   |0           |15       |
|103   |22          |58300            |1251289827       |603062000          |146.141.28.253   |146.141.28.130   |0           |16       |
|104   |58300       |22               |603062000        |1251289939         |146.141.28.130   |146.141.28.253   |0           |16       |
|105   |22          |58300            |1251289939       |603062000          |146.141.28.253   |146.141.28.130   |0           |16       |
|106   |22          |58300            |1251290131       |603062000          |146.141.28.253   |146.141.28.130   |0           |16       |
|107   |58300       |22               |603062000        |1251290131         |146.141.28.130   |146.141.28.253   |0           |16       |
|108   |58300       |22               |603062000        |1251290179         |146.141.28.130   |146.141.28.253   |0           |16       |
|109   |22          |58300            |1251290179       |603062000          |146.141.28.253   |146.141.28.130   |0           |17       |
|110   |58300       |22               |603062000        |1251290451         |146.141.28.130   |146.141.28.253   |0           |17       |
|111   |22          |58300            |1251290451       |603062000          |146.141.28.253   |146.141.28.130   |0           |17       |
|112   |22          |58300            |1251290563       |603062000          |146.141.28.253   |146.141.28.130   |0           |17       |
|113   |58300       |22               |603062000        |1251290563         |146.141.28.130   |146.141.28.253   |0           |17       |
|114   |58300       |22               |603062000        |1251290611         |146.141.28.130   |146.141.28.253   |0           |17       |
|115   |22          |58300            |1251290611       |603062000          |146.141.28.253   |146.141.28.130   |0           |18       |
|116   |58300       |22               |603062000        |1251290723         |146.141.28.130   |146.141.28.253   |0           |18       |
|117   |22          |58300            |1251290723       |603062000          |146.141.28.253   |146.141.28.130   |0           |18       |
|118   |58300       |22               |603062000        |1251290835         |146.141.28.130   |146.141.28.253   |0           |18       |
|119   |22          |58300            |1251290835       |603062000          |146.141.28.253   |146.141.28.130   |0           |18       |
|120   |22          |58300            |1251291027       |603062000          |146.141.28.253   |146.141.28.130   |0           |18       |
|121   |58300       |22               |603062000        |1251291027         |146.141.28.130   |146.141.28.253   |0           |18       |
|122   |58300       |22               |603062000        |1251291075         |146.141.28.130   |146.141.28.253   |0           |18       |
|123   |22          |58300            |1251291075       |603062000          |146.141.28.253   |146.141.28.130   |0           |19       |
|124   |58300       |22               |603062000        |1251291411         |146.141.28.130   |146.141.28.253   |0           |19       |
|125   |22          |58300            |1251291411       |603062000          |146.141.28.253   |146.141.28.130   |0           |19       |
|126   |22          |58300            |1251291603       |603062000          |146.141.28.253   |146.141.28.130   |0           |19       |
|127   |58300       |22               |603062000        |1251291603         |146.141.28.130   |146.141.28.253   |0           |19       |
|128   |58300       |22               |603062000        |1251291651         |146.141.28.130   |146.141.28.253   |0           |19       |
