|TCP   |Source Port |Destination Port |Sequence Number  |Acknowledge Number |Source IP        |Dest IP          |Urgent Flag | Retrans|
|293   |22          |58300            |1251302099       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|294   |22          |58300            |1251302323       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|295   |22          |58300            |1251302435       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|296   |22          |58300            |1251302547       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|297   |22          |58300            |1251302771       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|298   |22          |58300            |1251302995       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|299   |22          |58300            |1251303219       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|300   |22          |58300            |1251303331       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|301   |22          |58300            |1251303555       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|302   |22          |58300            |1251303667       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|303   |22          |58300            |1251303891       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|304   |22          |58300            |1251304003       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|305   |22          |58300            |1251304115       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|306   |22          |58300            |1251304451       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|307   |22          |58300            |1251304563       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|308   |22          |58300            |1251304675       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|309   |22          |58300            |1251304899       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|310   |22          |58300            |1251305011       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|311   |22          |58300            |1251305235       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|312   |22          |58300            |1251305347       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|313   |22          |58300            |1251305459       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|314   |22          |58300            |1251305683       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|315   |22          |58300            |1251305907       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|316   |22          |58300            |1251306019       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|317   |22          |58300            |1251306243       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|318   |22          |58300            |1251306355       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|319   |22          |58300            |1251306579       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|320   |22          |58300            |1251306691       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|321   |22          |58300            |1251306803       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|322   |22          |58300            |1251307027       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|323   |22          |58300            |1251307251       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|324   |22          |58300            |1251307475       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|325   |22          |58300            |1251307587       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|326   |22          |58300            |1251307811       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|327   |22          |58300            |1251307923       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|328   |22          |58300            |1251308147       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|329   |22          |58300            |1251308259       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|330   |22          |58300            |1251308371       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|331   |22          |58300            |1251308707       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|332   |22          |58300            |1251308819       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|333   |22          |58300            |1251308931       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|334   |22          |58300            |1251309043       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|335   |22          |58300            |1251309267       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|336   |22          |58300            |1251309491       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|337   |22          |58300            |1251309603       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|338   |22          |58300            |1251309715       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|339   |22          |58300            |1251310051       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|340   |22          |58300            |1251310163       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|341   |22          |58300            |1251310275       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|342   |22          |58300            |1251310387       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|343   |22          |58300            |1251310723       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|344   |22          |58300            |1251310835       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|345   |22          |58300            |1251311059       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|346   |22          |58300            |1251311171       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|347   |22          |58300            |1251311283       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|348   |22          |58300            |1251311507       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|349   |22          |58300            |1251311731       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|350   |22          |58300            |1251311843       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|351   |22          |58300            |1251311955       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|352   |22          |58300            |1251312291       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|353   |22          |58300            |1251312451       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|354   |22          |58300            |1251312563       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|355   |22          |58300            |1251312787       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|356   |22          |58300            |1251312899       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|357   |22          |58300            |1251313123       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|358   |22          |58300            |1251313235       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|359   |22          |58300            |1251313347       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|360   |22          |58300            |1251313459       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|361   |22          |58300            |1251313571       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|362   |22          |58300            |1251313683       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|363   |22          |58300            |1251313795       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|364   |22          |58300            |1251313907       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|365   |22          |58300            |1251314019       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|366   |22          |58300            |1251314131       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|367   |22          |58300            |1251314243       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|368   |22          |58300            |1251314355       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|369   |22          |58300            |1251314467       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|370   |22          |58300            |1251314579       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|371   |22          |58300            |1251314691       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|372   |22          |58300            |1251314803       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|373   |22          |58300            |1251314915       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|374   |58300       |22               |603062000        |1251315139         |146.141.28.130   |146.141.28.253   |0           |45       |
|375   |22          |58300            |1251315139       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|376   |22          |58300            |1251315251       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|377   |22          |58300            |1251315363       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|378   |22          |58300            |1251315475       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|379   |22          |58300            |1251315587       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|380   |22          |58300            |1251315699       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|381   |22          |58300            |1251315811       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|382   |22          |58300            |1251315923       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|383   |22          |58300            |1251316035       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|384   |22          |58300            |1251316147       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|385   |22          |58300            |1251316259       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|386   |22          |58300            |1251316371       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|387   |22          |58300            |1251316483       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|388   |22          |58300            |1251316595       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|389   |22          |58300            |1251316707       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|390   |22          |58300            |1251316819       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|391   |22          |58300            |1251316931       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|392   |22          |58300            |1251317043       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|393   |22          |58300            |1251317155       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|394   |22          |58300            |1251317267       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|395   |22          |58300            |1251317379       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|396   |22          |58300            |1251317491       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|397   |22          |58300            |1251317603       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|398   |22          |58300            |1251317715       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|399   |22          |58300            |1251317827       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|400   |22          |58300            |1251317939       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|401   |22          |58300            |1251318051       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|402   |22          |58300            |1251318163       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|403   |22          |58300            |1251318275       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|404   |22          |58300            |1251318387       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|405   |58300       |22               |603062000        |1251318499         |146.141.28.130   |146.141.28.253   |0           |45       |
|406   |22          |58300            |1251318499       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|407   |22          |58300            |1251319947       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|408   |22          |58300            |1251320963       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|409   |58300       |22               |603062000        |1251320963         |146.141.28.130   |146.141.28.253   |0           |45       |
|410   |58300       |22               |603062000        |1251321075         |146.141.28.130   |146.141.28.253   |0           |45       |
|411   |22          |58300            |1251321075       |603062000          |146.141.28.253   |146.141.28.130   |0           |46       |
|412   |22          |58300            |1251321187       |603062000          |146.141.28.253   |146.141.28.130   |0           |46       |
|413   |58300       |22               |603062000        |1251321187         |146.141.28.130   |146.141.28.253   |0           |46       |
|414   |22          |58300            |1251321299       |603062000          |146.141.28.253   |146.141.28.130   |0           |46       |
|415   |58300       |22               |603062000        |1251321299         |146.141.28.130   |146.141.28.253   |0           |46       |
|416   |22          |58300            |1251321411       |603062000          |146.141.28.253   |146.141.28.130   |0           |46       |
|417   |58300       |22               |603062000        |1251321411         |146.141.28.130   |146.141.28.253   |0           |46       |
|418   |22          |58300            |1251321523       |603062000          |146.141.28.253   |146.141.28.130   |0           |46       |
|419   |58300       |22               |603062000        |1251321523         |146.141.28.130   |146.141.28.253   |0           |46       |
|420   |22          |58300            |1251321635       |603062000          |146.141.28.253   |146.141.28.130   |0           |46       |
|421   |58300       |22               |603062000        |1251321635         |146.141.28.130   |146.141.28.253   |0           |46       |
|422   |58300       |22               |603062000        |1251321747         |146.141.28.130   |146.141.28.253   |0           |46       |
|423   |22          |58300            |1251321747       |603062000          |146.141.28.253   |146.141.28.130   |0           |47       |
|424   |22          |58300            |1251321859       |603062000          |146.141.28.253   |146.141.28.130   |0           |47       |
|425   |58300       |22               |603062000        |1251321859         |146.141.28.130   |146.141.28.253   |0           |47       |
|426   |58300       |22               |603062000        |1251321971         |146.141.28.130   |146.141.28.253   |0           |47       |
|427   |22          |58300            |1251321971       |603062000          |146.141.28.253   |146.141.28.130   |0           |48       |
|428   |22          |58300            |1251322083       |603062000          |146.141.28.253   |146.141.28.130   |0           |48       |
|429   |58300       |22               |603062000        |1251322083         |146.141.28.130   |146.141.28.253   |0           |48       |
|430   |22          |58300            |1251322195       |603062000          |146.141.28.253   |146.141.28.130   |0           |48       |
|431   |58300       |22               |603062000        |1251322195         |146.141.28.130   |146.141.28.253   |0           |48       |
|432   |58300       |22               |603062000        |1251322307         |146.141.28.130   |146.141.28.253   |0           |48       |
|433   |22          |58300            |1251322307       |603062000          |146.141.28.253   |146.141.28.130   |0           |49       |
|434   |22          |58300            |1251322419       |603062000          |146.141.28.253   |146.141.28.130   |0           |49       |
|435   |58300       |22               |603062000        |1251322419         |146.141.28.130   |146.141.28.253   |0           |49       |
|436   |58300       |22               |603062000        |1251322531         |146.141.28.130   |146.141.28.253   |0           |49       |
|437   |22          |58300            |1251322531       |603062000          |146.141.28.253   |146.141.28.130   |0           |50       |
|438   |22          |58300            |1251322643       |603062000          |146.141.28.253   |146.141.28.130   |0           |50       |
|439   |58300       |22               |603062000        |1251322643         |146.141.28.130   |146.141.28.253   |0           |50       |
|440   |22          |58300            |1251322755       |603062000          |146.141.28.253   |146.141.28.130   |0           |50       |
|441   |58300       |22               |603062000        |1251322755         |146.141.28.130   |146.141.28.253   |0           |50       |
|442   |22          |58300            |1251322867       |603062000          |146.141.28.253   |146.141.28.130   |0           |50       |
|443   |58300       |22               |603062000        |1251322867         |146.141.28.130   |146.141.28.253   |0           |50       |
|444   |58300       |22               |603062000        |1251322979         |146.141.28.130   |146.141.28.253   |0           |50       |
|445   |22          |58300            |1251322979       |603062000          |146.141.28.253   |146.141.28.130   |0           |51       |
|446   |22          |58300            |1251323091       |603062000          |146.141.28.253   |146.141.28.130   |0           |51       |
|447   |58300       |22               |603062000        |1251323091         |146.141.28.130   |146.141.28.253   |0           |51       |
|448   |22          |58300            |1251323203       |603062000          |146.141.28.253   |146.141.28.130   |0           |51       |
|449   |58300       |22               |603062000        |1251323203         |146.141.28.130   |146.141.28.253   |0           |51       |
|450   |22          |58300            |1251323315       |603062000          |146.141.28.253   |146.141.28.130   |0           |51       |
|451   |58300       |22               |603062000        |1251323315         |146.141.28.130   |146.141.28.253   |0           |51       |
|452   |22          |58300            |1251323427       |603062000          |146.141.28.253   |146.141.28.130   |0           |51       |
|453   |58300       |22               |603062000        |1251323427         |146.141.28.130   |146.141.28.253   |0           |51       |
|454   |58300       |22               |603062000        |1251323539         |146.141.28.130   |146.141.28.253   |0           |51       |
|455   |22          |58300            |1251323539       |603062000          |146.141.28.253   |146.141.28.130   |0           |52       |
|456   |22          |58300            |1251323651       |603062000          |146.141.28.253   |146.141.28.130   |0           |52       |
|457   |58300       |22               |603062000        |1251323651         |146.141.28.130   |146.141.28.253   |0           |52       |
|458   |22          |58300            |1251323763       |603062000          |146.141.28.253   |146.141.28.130   |0           |52       |
|459   |58300       |22               |603062000        |1251323763         |146.141.28.130   |146.141.28.253   |0           |52       |
|460   |22          |58300            |1251323875       |603062000          |146.141.28.253   |146.141.28.130   |0           |52       |
|461   |58300       |22               |603062000        |1251323875         |146.141.28.130   |146.141.28.253   |0           |52       |
|462   |22          |58300            |1251323987       |603062000          |146.141.28.253   |146.141.28.130   |0           |52       |
|463   |58300       |22               |603062000        |1251323987         |146.141.28.130   |146.141.28.253   |0           |52       |
|464   |22          |58300            |1251324099       |603062000          |146.141.28.253   |146.141.28.130   |0           |52       |
|465   |58300       |22               |603062000        |1251324099         |146.141.28.130   |146.141.28.253   |0           |52       |
|466   |58300       |22               |603062000        |1251324211         |146.141.28.130   |146.141.28.253   |0           |52       |
|467   |22          |58300            |1251324211       |603062000          |146.141.28.253   |146.141.28.130   |0           |53       |
|468   |58300       |22               |603062000        |1251324323         |146.141.28.130   |146.141.28.253   |0           |53       |
|469   |22          |58300            |1251324323       |603062000          |146.141.28.253   |146.141.28.130   |0           |53       |
|470   |22          |58300            |1251324435       |603062000          |146.141.28.253   |146.141.28.130   |0           |53       |
|471   |58300       |22               |603062000        |1251324435         |146.141.28.130   |146.141.28.253   |0           |53       |
|472   |22          |58300            |1251324547       |603062000          |146.141.28.253   |146.141.28.130   |0           |53       |
|473   |58300       |22               |603062000        |1251324547         |146.141.28.130   |146.141.28.253   |0           |53       |
|474   |22          |58300            |1251324659       |603062000          |146.141.28.253   |146.141.28.130   |0           |53       |
|475   |58300       |22               |603062000        |1251324659         |146.141.28.130   |146.141.28.253   |0           |53       |
|476   |22          |58300            |1251324771       |603062000          |146.141.28.253   |146.141.28.130   |0           |53       |
|477   |58300       |22               |603062000        |1251324771         |146.141.28.130   |146.141.28.253   |0           |53       |
|478   |22          |58300            |1251324883       |603062000          |146.141.28.253   |146.141.28.130   |0           |53       |
|479   |58300       |22               |603062000        |1251324883         |146.141.28.130   |146.141.28.253   |0           |53       |
|480   |58300       |22               |603062000        |1251324995         |146.141.28.130   |146.141.28.253   |0           |53       |
|481   |22          |58300            |1251324995       |603062000          |146.141.28.253   |146.141.28.130   |0           |54       |
|482   |22          |58300            |1251325107       |603062000          |146.141.28.253   |146.141.28.130   |0           |54       |
|483   |58300       |22               |603062000        |1251325107         |146.141.28.130   |146.141.28.253   |0           |54       |
|484   |22          |58300            |1251325219       |603062000          |146.141.28.253   |146.141.28.130   |0           |54       |
|485   |58300       |22               |603062000        |1251325219         |146.141.28.130   |146.141.28.253   |0           |54       |
|486   |58300       |22               |603062000        |1251325331         |146.141.28.130   |146.141.28.253   |0           |54       |
|487   |22          |58300            |1251325331       |603062000          |146.141.28.253   |146.141.28.130   |0           |55       |
|488   |22          |58300            |1251325443       |603062000          |146.141.28.253   |146.141.28.130   |0           |55       |
|489   |58300       |22               |603062000        |1251325443         |146.141.28.130   |146.141.28.253   |0           |55       |
|490   |22          |58300            |1251325555       |603062000          |146.141.28.253   |146.141.28.130   |0           |55       |
|491   |58300       |22               |603062000        |1251325555         |146.141.28.130   |146.141.28.253   |0           |55       |
|492   |58300       |22               |603062000        |1251325667         |146.141.28.130   |146.141.28.253   |0           |55       |
|493   |22          |58300            |1251325667       |603062000          |146.141.28.253   |146.141.28.130   |0           |56       |
|494   |22          |58300            |1251325779       |603062000          |146.141.28.253   |146.141.28.130   |0           |56       |
|495   |58300       |22               |603062000        |1251325779         |146.141.28.130   |146.141.28.253   |0           |56       |
|496   |22          |58300            |1251325891       |603062000          |146.141.28.253   |146.141.28.130   |0           |56       |
|497   |58300       |22               |603062000        |1251325891         |146.141.28.130   |146.141.28.253   |0           |56       |
|498   |22          |58300            |1251326003       |603062000          |146.141.28.253   |146.141.28.130   |0           |56       |
|499   |58300       |22               |603062000        |1251326003         |146.141.28.130   |146.141.28.253   |0           |56       |
|500   |58300       |22               |603062000        |1251326115         |146.141.28.130   |146.141.28.253   |0           |56       |
|501   |22          |58300            |1251326115       |603062000          |146.141.28.253   |146.141.28.130   |0           |57       |
|502   |22          |58300            |1251326227       |603062000          |146.141.28.253   |146.141.28.130   |0           |57       |
|503   |58300       |22               |603062000        |1251326227         |146.141.28.130   |146.141.28.253   |0           |57       |
|504   |58300       |22               |603062000        |1251326339         |146.141.28.130   |146.141.28.253   |0           |57       |
|505   |22          |58300            |1251326339       |603062000          |146.141.28.253   |146.141.28.130   |0           |58       |
|506   |22          |58300            |1251326451       |603062000          |146.141.28.253   |146.141.28.130   |0           |58       |
|507   |58300       |22               |603062000        |1251326451         |146.141.28.130   |146.141.28.253   |0           |58       |
|508   |22          |58300            |1251326563       |603062000          |146.141.28.253   |146.141.28.130   |0           |58       |
|509   |58300       |22               |603062000        |1251326563         |146.141.28.130   |146.141.28.253   |0           |58       |
|510   |22          |58300            |1251326675       |603062000          |146.141.28.253   |146.141.28.130   |0           |58       |
|511   |58300       |22               |603062000        |1251326675         |146.141.28.130   |146.141.28.253   |0           |58       |
|512   |22          |58300            |1251326787       |603062000          |146.141.28.253   |146.141.28.130   |0           |58       |
|513   |58300       |22               |603062000        |1251326787         |146.141.28.130   |146.141.28.253   |0           |58       |
|514   |22          |58300            |1251326899       |603062000          |146.141.28.253   |146.141.28.130   |0           |58       |
|515   |58300       |22               |603062000        |1251326899         |146.141.28.130   |146.141.28.253   |0           |58       |
|516   |58300       |22               |603062000        |1251327011         |146.141.28.130   |146.141.28.253   |0           |58       |
|517   |22          |58300            |1251327011       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|518   |58300       |22               |603062000        |1251327123         |146.141.28.130   |146.141.28.253   |0           |59       |
|519   |22          |58300            |1251327123       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|520   |22          |58300            |1251327235       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|521   |22          |58300            |1251327347       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|522   |22          |58300            |1251327459       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|523   |58300       |22               |603062000        |1251327683         |146.141.28.130   |146.141.28.253   |0           |59       |
|524   |22          |58300            |1251327683       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|525   |22          |58300            |1251327795       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|526   |22          |58300            |1251328019       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|527   |22          |58300            |1251328243       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|528   |22          |58300            |1251328355       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|529   |22          |58300            |1251328467       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|530   |22          |58300            |1251328803       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|531   |22          |58300            |1251329027       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|532   |22          |58300            |1251329075       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|533   |22          |58300            |1251329299       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|534   |22          |58300            |1251329411       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|535   |22          |58300            |1251329635       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|536   |22          |58300            |1251329859       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|537   |22          |58300            |1251330083       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|538   |22          |58300            |1251330131       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|539   |22          |58300            |1251330467       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|540   |22          |58300            |1251330579       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|541   |22          |58300            |1251330691       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|542   |22          |58300            |1251330803       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|543   |22          |58300            |1251331027       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|544   |22          |58300            |1251331251       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|545   |22          |58300            |1251331363       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|546   |22          |58300            |1251331475       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|547   |22          |58300            |1251331699       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|548   |22          |58300            |1251331923       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|549   |22          |58300            |1251332035       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|550   |22          |58300            |1251332147       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|551   |22          |58300            |1251332595       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|552   |22          |58300            |1251332707       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|553   |58300       |22               |603062000        |1251332707         |146.141.28.130   |146.141.28.253   |0           |59       |
|554   |22          |58300            |1251332819       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|555   |22          |58300            |1251332931       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|556   |22          |58300            |1251333043       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|557   |22          |58300            |1251333267       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|558   |22          |58300            |1251333491       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|559   |22          |58300            |1251333603       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|560   |22          |58300            |1251333827       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|561   |22          |58300            |1251334051       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|562   |22          |58300            |1251334163       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|563   |22          |58300            |1251334387       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|564   |22          |58300            |1251334499       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|565   |22          |58300            |1251334611       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|566   |22          |58300            |1251334835       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|567   |22          |58300            |1251335059       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|568   |22          |58300            |1251335171       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|569   |22          |58300            |1251335395       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|570   |58300       |22               |603062000        |1251335619         |146.141.28.130   |146.141.28.253   |0           |59       |
|571   |22          |58300            |1251335619       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|572   |22          |58300            |1251335731       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|573   |22          |58300            |1251335955       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|574   |22          |58300            |1251336067       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|575   |22          |58300            |1251336179       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|576   |22          |58300            |1251336403       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|577   |22          |58300            |1251336627       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|578   |22          |58300            |1251336739       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|579   |22          |58300            |1251336851       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|580   |22          |58300            |1251337075       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|581   |22          |58300            |1251337299       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|582   |22          |58300            |1251337411       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|583   |58300       |22               |603062000        |1251337747         |146.141.28.130   |146.141.28.253   |0           |59       |
|584   |22          |58300            |1251337747       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|585   |22          |58300            |1251337859       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|586   |22          |58300            |1251338195       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|587   |22          |58300            |1251338243       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
|588   |22          |58300            |1251338467       |603062000          |146.141.28.253   |146.141.28.130   |0           |59       |
